Feature,SHAP,AbsSHAP
num__ct_dst_sport_ltm,2.910345,2.910345
cat__service_dns,1.9104209,1.9104209
num__sttl,1.7689211,1.7689211
num__ct_src_ltm,1.1344937,1.1344937
num__sbytes,1.1294725,1.1294725
num__ct_srv_src,-1.0114678,1.0114678
num__smean,0.8795211,0.8795211
num__ct_state_ttl,0.34875262,0.34875262
num__ct_srv_dst,-0.3386698,0.3386698
cat__service_-,0.23973283,0.23973283
num__dtcpb,0.21605794,0.21605794
num__ct_src_dport_ltm,0.20586619,0.20586619
num__sinpkt,0.15246376,0.15246376
num__synack,0.11301101,0.11301101
num__swin,0.101509124,0.101509124
num__dur,0.09563108,0.09563108
num__ct_dst_src_ltm,-0.08975021,0.08975021
num__dload,0.08637817,0.08637817
num__dbytes,0.07707412,0.07707412
cat__proto_udp,-0.07654915,0.07654915
num__sloss,0.066713594,0.066713594
num__sload,0.037414763,0.037414763
num__dpkts,-0.03496239,0.03496239
num__sjit,-0.033923827,0.033923827
num__rate,0.032659367,0.032659367
num__ackdat,0.029603055,0.029603055
num__djit,0.027260233,0.027260233
num__dloss,0.02363523,0.02363523
num__stcpb,0.023531644,0.023531644
num__dmean,-0.022427617,0.022427617
cat__state_INT,0.016457377,0.016457377
cat__proto_unas,-0.013275652,0.013275652
cat__service_http,-0.012296595,0.012296595
num__tcprtt,0.009865425,0.009865425
num__response_body_len,0.009443722,0.009443722
num__trans_depth,-0.009035826,0.009035826
num__dinpkt,0.00849806,0.00849806
num__ct_flw_http_mthd,-0.008237198,0.008237198
cat__proto_tcp,0.005843652,0.005843652
num__ct_dst_ltm,0.0044318195,0.0044318195
cat__service_ftp,0.0040269936,0.0040269936
cat__state_CON,0.0028057003,0.0028057003
cat__state_FIN,-0.0025361762,0.0025361762
cat__proto_ospf,-0.0023992022,0.0023992022
num__spkts,-0.0020388085,0.0020388085
cat__proto_igmp,0.0020219043,0.0020219043
num__dttl,-0.0017512487,0.0017512487
cat__proto_sctp,-0.0012727455,0.0012727455
cat__proto_icmp,0.0012363843,0.0012363843
cat__proto_arp,0.000720731,0.000720731
num__is_ftp_login,-0.00043690635,0.00043690635
num__is_sm_ips_ports,0.00040566514,0.00040566514
cat__service_smtp,-0.00035117962,0.00035117962
cat__proto_mobile,-0.00012953585,0.00012953585
cat__service_ftp-data,-0.00012935374,0.00012935374
cat__proto_sun-nd,-0.00012260715,0.00012260715
cat__state_ECO,9.942521e-05,9.942521e-05
cat__proto_swipe,-7.309614e-05,7.309614e-05
cat__state_RST,5.3492957e-05,5.3492957e-05
cat__proto_sep,-1.705023e-05,1.705023e-05
cat__proto_aes-sp3-d,0.0,0.0
cat__proto_any,0.0,0.0
num__dwin,0.0,0.0
num__ct_ftp_cmd,0.0,0.0
cat__proto_a/n,0.0,0.0
cat__proto_3pc,0.0,0.0
cat__proto_encap,0.0,0.0
cat__proto_emcon,0.0,0.0
cat__proto_eigrp,0.0,0.0
cat__proto_egp,0.0,0.0
cat__proto_dgp,0.0,0.0
cat__proto_ddx,0.0,0.0
cat__proto_ddp,0.0,0.0
cat__proto_dcn,0.0,0.0
cat__proto_crudp,0.0,0.0
cat__proto_crtp,0.0,0.0
cat__proto_cpnx,0.0,0.0
cat__proto_cphb,0.0,0.0
cat__proto_compaq-peer,0.0,0.0
cat__proto_chaos,0.0,0.0
cat__proto_cftp,0.0,0.0
cat__proto_cbt,0.0,0.0
cat__proto_br-sat-mon,0.0,0.0
cat__proto_bna,0.0,0.0
cat__proto_bbn-rcc,0.0,0.0
cat__proto_ax.25,0.0,0.0
cat__proto_aris,0.0,0.0
cat__proto_argus,0.0,0.0
cat__proto_gmtp,0.0,0.0
cat__proto_gre,0.0,0.0
cat__proto_i-nlsp,0.0,0.0
cat__proto_hmp,0.0,0.0
cat__proto_ib,0.0,0.0
cat__proto_iatp,0.0,0.0
cat__proto_idpr,0.0,0.0
cat__proto_idpr-cmtp,0.0,0.0
cat__proto_etherip,0.0,0.0
cat__proto_fc,0.0,0.0
cat__proto_irtp,0.0,0.0
cat__proto_ipx-n-ip,0.0,0.0
cat__proto_iso-tp4,0.0,0.0
cat__proto_isis,0.0,0.0
cat__proto_l2tp,0.0,0.0
cat__proto_larp,0.0,0.0
cat__proto_leaf-1,0.0,0.0
cat__proto_iso-ip,0.0,0.0
cat__proto_leaf-2,0.0,0.0
cat__proto_merit-inp,0.0,0.0
cat__proto_mhrp,0.0,0.0
cat__proto_mfe-nsp,0.0,0.0
cat__proto_micp,0.0,0.0
cat__proto_mtp,0.0,0.0
cat__proto_fire,0.0,0.0
cat__proto_ggp,0.0,0.0
cat__proto_igp,0.0,0.0
cat__proto_il,0.0,0.0
cat__proto_ip,0.0,0.0
cat__proto_ipcomp,0.0,0.0
cat__proto_ipcv,0.0,0.0
cat__proto_ipip,0.0,0.0
cat__proto_iplt,0.0,0.0
cat__proto_ipnip,0.0,0.0
cat__proto_ippc,0.0,0.0
cat__proto_ipv6,0.0,0.0
cat__proto_ipv6-frag,0.0,0.0
cat__proto_ipv6-no,0.0,0.0
cat__proto_ipv6-opts,0.0,0.0
cat__proto_ipv6-route,0.0,0.0
cat__proto_idrp,0.0,0.0
cat__proto_ifmp,0.0,0.0
cat__proto_rsvp,0.0,0.0
cat__proto_rdp,0.0,0.0
cat__proto_qnx,0.0,0.0
cat__proto_pvp,0.0,0.0
cat__proto_pup,0.0,0.0
cat__proto_ptp,0.0,0.0
cat__proto_prm,0.0,0.0
cat__proto_pri-enc,0.0,0.0
cat__proto_pnni,0.0,0.0
cat__proto_pipe,0.0,0.0
cat__proto_pim,0.0,0.0
cat__proto_pgm,0.0,0.0
cat__proto_nvp,0.0,0.0
cat__proto_nsfnet-igp,0.0,0.0
cat__proto_netblt,0.0,0.0
cat__proto_narp,0.0,0.0
cat__proto_kryptolan,0.0,0.0
cat__proto_mux,0.0,0.0
cat__proto_sps,0.0,0.0
cat__proto_smp,0.0,0.0
cat__proto_sm,0.0,0.0
cat__proto_sprite-rpc,0.0,0.0
cat__proto_snp,0.0,0.0
cat__proto_sat-expak,0.0,0.0
cat__proto_sdrp,0.0,0.0
cat__proto_secure-vmtp,0.0,0.0
cat__proto_skip,0.0,0.0
cat__proto_rtp,0.0,0.0
cat__proto_sat-mon,0.0,0.0
cat__proto_sccopmce,0.0,0.0
cat__proto_scps,0.0,0.0
cat__proto_rvd,0.0,0.0
cat__proto_vines,0.0,0.0
cat__proto_uti,0.0,0.0
cat__proto_trunk-2,0.0,0.0
cat__proto_ttp,0.0,0.0
cat__proto_trunk-1,0.0,0.0
cat__proto_tp++,0.0,0.0
cat__proto_tcf,0.0,0.0
cat__proto_tlsp,0.0,0.0
cat__proto_srp,0.0,0.0
cat__proto_stp,0.0,0.0
cat__proto_st2,0.0,0.0
cat__proto_xnet,0.0,0.0
cat__proto_xns-idp,0.0,0.0
cat__proto_visa,0.0,0.0
cat__proto_vrrp,0.0,0.0
cat__proto_vmtp,0.0,0.0
cat__proto_zero,0.0,0.0
cat__proto_xtp,0.0,0.0
cat__service_dhcp,0.0,0.0
cat__proto_wb-expak,0.0,0.0
cat__proto_wb-mon,0.0,0.0
cat__proto_wsn,0.0,0.0
cat__service_pop3,0.0,0.0
cat__service_irc,0.0,0.0
cat__service_ssl,0.0,0.0
cat__service_ssh,0.0,0.0
cat__service_snmp,0.0,0.0
cat__service_radius,0.0,0.0
cat__state_PAR,0.0,0.0
cat__state_REQ,0.0,0.0
cat__state_URN,0.0,0.0
cat__state_no,0.0,0.0
